,Date_x,Open,High,Low,Close,Adj Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
0,2019-10-10,1.64,1.64,1.5,1.53,1.53,,,,,,,,,,,
1,2019-10-11,1.55,1.59,1.5,1.56,1.56,,,,,,,,,,,
2,2019-10-14,1.56,1.57,1.52,1.53,1.53,,,,,,,,,,,
3,2019-10-15,1.63,1.64,1.54,1.55,1.55,,,,,,,,,,,
4,2019-10-16,1.46,1.52,1.4,1.46,1.46,,,,,,,,,,,
5,2019-10-17,1.46,1.5,1.42,1.46,1.46,,,,,,,,,,,
6,2019-10-18,1.45,1.55,1.44,1.52,1.52,,,,,,,,,,,
7,2019-10-21,1.52,1.77,1.49,1.69,1.69,,,,,,,,,,,
8,2019-10-22,1.7,1.77,1.52,1.58,1.58,,,,,,,,,,,
9,2019-10-23,1.58,1.6,1.52,1.53,1.53,,,,,,,,,,,
10,2019-10-24,1.57,1.6,1.53,1.54,1.54,,,,,,,,,,,
11,2019-10-25,1.54,1.56,1.5,1.51,1.51,,,,,,,,,,,
12,2019-10-28,1.43,1.5,1.38,1.48,1.48,,,,,,,,,,,
13,2019-10-29,1.45,1.45,1.39,1.39,1.39,,,,,,,,,,,
14,2019-10-30,1.42,1.45,1.36,1.43,1.43,,,,,,,,,,,
15,2019-10-31,1.47,1.54,1.44,1.45,1.45,,,,,,,,,,,
16,2019-11-01,1.49,1.55,1.49,1.52,1.52,,,,,,,,,,,
17,2019-11-04,1.65,1.9,1.58,1.71,1.71,,,,,,,,,,,
18,2019-11-05,1.88,2.38,1.8,2.34,2.34,,,,,,,,,,,
19,2019-11-06,2.46,2.46,1.96,2.03,2.03,,,,,,,,,,,
20,2019-11-07,2.11,2.2,2.05,2.07,2.07,,,,,,,,,,,
21,2019-11-08,2.13,2.13,1.94,1.98,1.98,,,,,,,,,,,
22,2019-11-11,1.9,1.96,1.78,1.86,1.86,,,,,,,,,,,
23,2019-11-12,1.9,2.05,1.83,1.94,1.94,,,,,,,,,,,
24,2019-11-13,1.9,1.99,1.85,1.9,1.9,,,,,,,,,,,
25,2019-11-14,1.86,1.89,1.66,1.75,1.75,,,,,,,,,,,
26,2019-11-15,1.75,1.84,1.66,1.8,1.8,,,,,,,,,,,
27,2019-11-18,1.88,1.9,1.73,1.8,1.8,,,,,,,,,,,
28,2019-11-19,1.78,1.89,1.78,1.83,1.83,,,,,,,,,,,
29,2019-11-20,1.85,1.87,1.77,1.84,1.84,,,,,,,,,,,
30,2019-11-21,1.87,2.04,1.82,1.98,1.98,,,,,,,,,,,
31,2019-11-22,2.04,2.05,1.88,1.94,1.94,,,,,,,,,,,
32,2019-11-25,1.99,2.12,1.96,2.05,2.05,,,,,,,,,,,
33,2019-11-26,2.12,2.29,2.12,2.28,2.28,,,,,,,,,,,
34,2019-11-27,2.32,2.5,2.28,2.46,2.46,,,,,,,,,,,
35,2019-11-29,2.36,2.36,2.2,2.27,2.27,,,,,,,,,,,
36,2019-12-02,2.35,2.44,2.3,2.44,2.44,2.0866666666666664,2.6833333333333327,1.673333333333333,3.0966666666666667,1.0766666666666664,3.693333333333333,0.6633333333333331,4.29,0.25,4.886666666666666,-0.163333333333334
37,2019-12-03,2.31,2.48,2.25,2.4,2.4,2.0866666666666664,2.6833333333333327,1.673333333333333,3.0966666666666667,1.0766666666666664,3.693333333333333,0.6633333333333331,4.29,0.25,4.886666666666666,-0.163333333333334
38,2019-12-04,2.42,2.58,2.41,2.42,2.42,2.0866666666666664,2.6833333333333327,1.673333333333333,3.0966666666666667,1.0766666666666664,3.693333333333333,0.6633333333333331,4.29,0.25,4.886666666666666,-0.163333333333334
39,2019-12-05,2.53,2.57,2.25,2.27,2.27,2.0866666666666664,2.6833333333333327,1.673333333333333,3.0966666666666667,1.0766666666666664,3.693333333333333,0.6633333333333331,4.29,0.25,4.886666666666666,-0.163333333333334
40,2019-12-06,2.32,2.34,2.2,2.26,2.26,2.0866666666666664,2.6833333333333327,1.673333333333333,3.0966666666666667,1.0766666666666664,3.693333333333333,0.6633333333333331,4.29,0.25,4.886666666666666,-0.163333333333334
41,2019-12-09,2.21,2.25,2.11,2.22,2.22,2.0866666666666664,2.6833333333333327,1.673333333333333,3.0966666666666667,1.0766666666666664,3.693333333333333,0.6633333333333331,4.29,0.25,4.886666666666666,-0.163333333333334
