Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,7.800000,8.000000,7.680000,7.710000,7.710000,10994700
2018-12-03,8.100000,8.130000,6.720000,6.990000,6.990000,70314400
2018-12-10,7.030000,7.900000,6.740000,7.700000,7.700000,59838700
2018-12-17,7.630000,7.640000,6.060000,6.070000,6.070000,63796600
2018-12-24,6.000000,6.560000,5.840000,6.470000,6.470000,35276500
2018-12-31,6.560000,6.570000,6.000000,6.360000,6.360000,34459500
2019-01-07,6.410000,6.730000,6.170000,6.590000,6.590000,48926100
2019-01-14,6.510000,7.150000,6.370000,6.710000,6.710000,56778100
2019-01-21,6.630000,6.790000,6.470000,6.650000,6.650000,24709200
2019-01-28,6.560000,8.110000,6.480000,7.900000,7.900000,90108800
2019-02-04,7.960000,8.590000,7.280000,7.670000,7.670000,95927400
2019-02-11,7.670000,7.780000,7.140000,7.410000,7.410000,64231100
2019-02-18,7.400000,8.220000,7.210000,8.170000,8.170000,66130900
2019-02-25,9.040000,10.640000,8.600000,10.060000,10.060000,270596500
2019-03-04,10.320000,10.630000,6.850000,7.060000,7.060000,255467000
2019-03-11,6.950000,6.980000,5.710000,5.710000,5.710000,290648100
2019-03-18,5.690000,6.030000,5.440000,5.620000,5.620000,216394400
2019-03-25,5.620000,5.660000,4.900000,5.100000,5.100000,199007000
2019-04-01,5.290000,5.610000,5.140000,5.360000,5.360000,173329600
2019-04-08,5.330000,5.380000,4.950000,4.990000,4.990000,109102500
2019-04-15,4.990000,5.000000,4.430000,4.790000,4.790000,135596500
2019-04-22,4.740000,5.150000,4.620000,4.920000,4.920000,81889100
2019-04-29,4.890000,5.110000,4.570000,5.020000,5.020000,82271600
2019-05-06,4.720000,4.920000,4.510000,4.560000,4.560000,81053200
2019-05-13,4.500000,4.850000,4.300000,4.420000,4.420000,100372900
2019-05-20,4.380000,4.450000,3.810000,3.860000,3.860000,136290700
2019-05-27,4.120000,4.140000,3.000000,3.050000,3.050000,251490300
2019-06-03,2.980000,3.110000,2.540000,2.760000,2.760000,206388300
2019-06-10,2.750000,2.820000,2.350000,2.420000,2.420000,148146100
2019-06-17,2.390000,3.050000,2.350000,2.640000,2.640000,219972400
2019-06-24,2.610000,2.730000,2.440000,2.550000,2.550000,104972200
2019-07-01,2.670000,3.340000,2.570000,3.260000,3.260000,166115900
2019-07-08,3.210000,4.000000,3.130000,3.450000,3.450000,309458700
2019-07-15,3.490000,3.520000,3.250000,3.370000,3.370000,103739600
2019-07-22,3.380000,3.750000,3.310000,3.510000,3.510000,105803300
2019-07-29,3.550000,3.580000,3.160000,3.270000,3.270000,105905500
2019-08-05,3.140000,3.260000,2.850000,3.130000,3.130000,111892100
2019-08-12,3.050000,3.200000,2.770000,2.950000,2.950000,92578700
2019-08-19,3.000000,3.270000,2.890000,2.920000,2.920000,77862600
2019-08-26,2.950000,3.000000,2.830000,2.860000,2.860000,65470200
2019-09-02,2.820000,3.000000,2.580000,2.980000,2.980000,79786300
2019-09-09,3.000000,3.330000,2.930000,3.210000,3.210000,71184500
2019-09-16,3.150000,3.210000,3.000000,3.040000,3.040000,58532400
2019-09-23,2.980000,2.980000,1.710000,1.750000,1.750000,312281600
2019-09-30,1.720000,1.730000,1.190000,1.620000,1.620000,329802300
2019-10-07,1.580000,1.800000,1.450000,1.560000,1.560000,169426300
2019-10-14,1.560000,1.640000,1.400000,1.520000,1.520000,118889500
